language_name,repo_name
C,gitextensions/gitextensions
C,glassechidna/zxing-cpp
C,gnachman/iTerm2
C,gnuradio/gnuradio
C,gnustep/libobjc2
C,google/earthenterprise
C,google/eddystone
C,google/googletest
C,google/leveldb
C,googleads/googleads-mobile-unity
C,googlefonts/fontbakery
C,googlei18n/libphonenumber
C,googlesamples/vulkan-basic-samples
C,gradle/gradle
C,greenplum-db/gpdb
C,gridcoin/Gridcoin-Research
C,groonga/groonga
C,grpc/grpc
C,h2o/h2o
C,haad/proxychains
C,haakonnessjoen/MAC-Telnet
C,hackiftekhar/IQKeyboardManager
C,haikuports/haikuports
C,headius/ruby-atomic
C,hholtmann/smcFanControl
C,highperformancecoder/scidavis
C,hioa-cs/IncludeOS
C,hishamhm/htop
C,hlinnaka/gpdb
C,holgern/pyedflib
C,huangz1990/redis-3.0-annotated
C,hugsy/gef
C,hybridgroup/gobot
C,iNavFlight/inav
C,icholy/ttygif
C,idaholab/falcon
C,idaholab/mastodon
C,ideawu/ssdb
C,imazen/libwebp-net
C,insidegui/WWDC
C,iotile/coretools
C,iovisor/bcc
C,ivandavidov/minimal
C,jagt/clumsy
C,jasp-stats/jasp-desktop
C,jburel/openmicroscopy
C,jedisct1/swift-sodium
C,jeffpar/pcjs
C,jenkinsci/jenkins
C,jessfraz/dockerfiles
C,jitsi/libjitsi
C,jonls/redshift
C,jopohl/urh
C,joyent/manta-marlin
C,jp9000/obs-studio
C,jpush/aurora-imui
C,juju/juju
C,juliagoda/qfaktury
C,jvm-profiling-tools/async-profiler
C,keybase/client
C,keybase/kbfs
C,keyboardio/Kaleidoscope
C,kizniche/Mycodo
C,kohler/gifsicle
C,kripken/sql.js
C,kubernetes-incubator/cri-o
C,kubernetes/kubernetes
C,lailongwei/llbc
C,leanprover/lean
C,leapmotion/autowiring
C,leichunfeng/MVVMReactiveCocoa
C,libMesh/libmesh
C,libgit2/php-git
C,litecoin-project/litecoin
C,liudf0716/apfree_wifidog
C,lneuhaus/pyrpl
C,lnykryn/systemd-rhel
C,loot/loot
C,lucasdemarchi/codespell
C,lucasjones/cpuminer-multi
C,madlib/madlib
C,magarena/magarena
C,manahl/arctic
C,mangosone/server
C,mangoszero/server
C,manufactured-solutions/MASA
C,marbl/canu
C,marcobambini/gravity
C,markszabo/IRremoteESP8266
C,material-components/material-components-ios
C,mattyx14/otxserver
C,maxbube/mydumper
C,mbuesch/razer
C,mdaines/viz.js
C,meganz/sdk
C,merces/libpe
C,merenlab/anvio
C,mesonbuild/meson
C,meta-debian/meta-debian
C,mgp25/Chat-API-NET
C,micropython/micropython-esp32
C,miguelfreitas/twister-core
C,mikedanese/kubernetes
C,miloyip/nativejson-benchmark
C,mintomic/mintomic
C,mixer/janus-gateway
C,moby/moby
C,mossmann/hackrf
C,mozilla-mobile/firefox-ios
C,mrdoob/three.js
C,msharov/ustl
C,multiarch/crossbuild
C,myint/cppclean
C,nbs-system/naxsi
C,ndevilla/iniparser
C,nebulasio/go-nebulas
C,nekipelov/redisclient
C,netblue30/firejail
C,netty/netty
C,ngageoint/hootenanny
C,ngtcp2/ngtcp2
C,nicehash/nheqminer
C,nitroshare/nitroshare-desktop
C,node-serialport/node-serialport
C,nodeca/pica
C,noodlewerk/NWPusher
C,nsf/termbox
C,nutjunkie/IQmol
C,ocornut/imgui
C,oh-my-fish/oh-my-fish
C,oneclick/rubyinstaller2
C,open-iscsi/tcmu-runner
C,opencog/atomspace
C,opendroid-Team/enigma2
C,openembedded/meta-openembedded
C,openhatch/oh-mainline
C,openimaj/openimaj
C,opensim-org/opensim-core
C,openstreetmap/openstreetmap-website
C,openwrt/packages
C,oscm/shell
C,oskarth/xv6
C,osmocom/rtl-sdr
C,osqzss/gps-sdr-sim
C,overviewer/Minecraft-Overviewer
C,ow2-proactive/programming
C,pandas-dev/pandas
C,pangweiwei/slua
C,pantuza/jsoncat
C,paritytech/parity
C,pencil2d/pencil
C,personalrobotics/aikido
C,phacility/phabricator
C,phpv8/v8js
C,pingcap/grpc-rs
C,pioneers/PieCentral
C,popcornmix/omxplayer
C,practicalswift/swift
C,preshing/turf
C,prusa3d/Slic3r
C,ptt/pttbbs
C,puppylinux-woof-CE/woof-CE
C,pyenv/pyenv
C,qTox/qTox
C,qgis/QGIS
C,qmk/qmk_firmware
C,qtumproject/qtum
C,radare/radare2
C,rathena/rathena
C,ray-project/ray
C,raywenderlich/swift-algorithm-club
C,rbenv/rbenv
C,realm/realm-core
C,rextimmy/Torque3D
C,rime/weasel
C,rizsotto/Bear
C,rkern/line_profiler
C,rmagick/rmagick
C,roadrunner2/macbook12-spi-driver
C,rsjaffe/MIDI2LR
C,rvoicilas/inotify-tools
C,samba-team/samba
C,sass/node-sass
C,seppo0010/rlite
C,servo/rust-azure
C,servo/servo
C,shadowsocks/ShadowsocksX-NG
C,shangjingbo1226/AutoPhrase
C,shogun-toolbox/shogun
C,sikuli/sikuli
C,simit-lang/simit
C,sipb/homeworld
C,skywind3000/kcp
C,sm00th/bitlbee-discord
C,solvcon/solvcon
C,srdja/Collections-C
C,stdlib-js/stdlib
C,steamclock/internetmap
C,stevenlovegrove/Pangolin
C,syoyo/tinyobjloader
C,systemd/systemd
C,tao12345666333/tornado-zh
C,taoliu/MACS
C,teamfx/openjfx-8u-dev-rt
C,tekezo/Karabiner-Elements
C,tennc/webshell
C,tensorflow/tensorflow
C,terracoin/terracoin
C,tesseract-ocr/tesseract
C,thehackerwithin/berkeley
C,therecipe/qt
C,thinkyhead/Marlin
C,thought-machine/please
C,tinyproxy/tinyproxy
C,tornadoweb/tornado
C,tridge/ardupilot
C,troglobit/finit
C,tudurom/windowchef
C,turanszkij/WickedEngine
C,twitter/twemproxy
C,tzapu/WiFiManager
C,uwigem/uwigem2017
C,vcmi/vcmi
C,vergecurrency/VERGE
C,vfleaking/uoj
C,videolabs/libmicrodns
C,vmg/redcarpet
C,vnpy/vnpy
C,wangyu-/udp2raw-tunnel
C,waywardgeek/infnoise
C,waywardgeek/sonic
C,wbhart/flint2
C,wch/r-source
C,wikimedia/wikipedia-ios
C,wordpress-mobile/WordPress-iOS
C,wpilibsuite/allwpilib
C,xetorthio/jedis
C,xinzweb/gpdb
C,xiongziliang/ZLMediaKit
C,xupefei/QuickLook
C,yajiedesign/mxnet
C,yonaskolb/XcodeGen
C,zchee/deoplete-clang
C,zdohnal/system-config-printer
C,zephyrproject-rtos/zephyr
C,zfsonlinux/spl
C,zone117x/node-open-mining-portal
C#,0xd4d/de4dot
C#,0xd4d/dnSpy
C#,20tab/UnrealEnginePython
C#,AMVSoftware/Cake.SqlServer
C#,ARM-software/ComputeLibrary
C#,Addepar/buck
C#,AlDanial/cloc
C#,ArthurHub/HTML-Renderer
C#,AvaloniaUI/Avalonia
C#,Azure/DotNetty
C#,Azure/azure-mobile-apps-js-client
C#,Azure/azure-sdk-for-net
C#,Azure/azure-storage-net
C#,Azure/azure-webjobs-sdk
C#,Citadel-Station-13/Citadel-Station-13
C#,Codeusa/Borderless-Gaming
C#,Countly/countly-sdk-windows
C#,EDDiscovery/EDDiscovery
C#,EQEmu/Server
C#,EgorBo/Toasts.Forms.Plugin
C#,Facepunch/Facepunch.Steamworks
C#,GNOME/gnome-builder
C#,GarageGames/Torque3D
C#,HippieStation/HippieStation
C#,IdentityServer/IdentityServer4
C#,IntelliTect/Coalesce
C#,IronLanguages/ironpython3
C#,JanKallman/EPPlus
C#,JeffreySu/WeiXinMPSDK
C#,JeffreySu/WxOpen
C#,JeremyKuhne/corefx
C#,JetBrains/intellij-community
C#,KSemenenko/ColorThief
C#,Langbencom/rights
C#,MarkPieszak/aspnetcore-angular2-universal
C#,MatterHackers/agg-sharp
C#,Microsoft/ApplicationInsights-dotnet
C#,Microsoft/PTVS
C#,Microsoft/WinObjC
C#,Microsoft/ivy
C#,Microsoft/sarif-sdk
C#,NLog/NLog
C#,NotMyself/DotNetCoreKoans
C#,OdeToCode/AddFeatureFolders
C#,OneGet/oneget
C#,OpenRA/OpenRA
C#,Pathoschild/SMAPI
C#,Quobject/EngineIoClientDotNet
C#,Redth/ZXing.Net.Mobile
C#,Rochet2/TrinityCore
C#,RogueException/Discord.Net
C#,Screetsec/TheFatRat
C#,SeleniumHQ/selenium
C#,Studyxnet/FilePicker-Plugin-for-Xamarin-and-Windows
C#,SubnauticaNitrox/Nitrox
C#,TechEmpower/FrameworkBenchmarks
C#,TomPallister/Ocelot
C#,TryItOnline/tiosetup
C#,Wox-launcher/Wox
C#,anoyetta/ACT.SpecialSpellTimer
C#,ansible/ansible
C#,arangodb/arangodb
C#,aspnetboilerplate/aspnetboilerplate
C#,aspose-cells/Aspose.Cells-for-.NET
C#,aurelia/cli
C#,auth0/auth0-aspnet-owin
C#,bbbscarter/UberLogger
C#,bcoca/ansible
C#,bugobliterator/ardupilot-chibios
C#,chummer5a/chummer5a
C#,coala/coala-bears
C#,codecadwallader/codemaid
C#,codenameone/CodenameOne
C#,cucumber/cucumber
C#,danielgerlag/workflow-core
C#,deeplearning4j/libnd4j
C#,dimok789/loadiine_gx2
C#,domaindrivendev/Swashbuckle.AspNetCore
C#,domoticz/domoticz
C#,dotnet-architecture/eShopOnContainers
C#,dotnet/cli
C#,dotnet/core-setup
C#,dotnet/docfx
C#,dotnet/orleans
C#,dotnet/roslyn
C#,dotnet/roslyn-analyzers
C#,dotnet/versions
C#,dotnet/wcf
C#,dotnetcore/CAP
